Name,Review Text,Date Posted
*********541,skstkalxhldhldyr5is5isiyhxbzgkzfjstjdupfp gkzfjTidyfilv nvjlxti ,17 Des 2023
Ayuk I.,pengiriman cepat kurir ramah...bahanya gak sesuai ekspektasi ku tp gpp lah harga segitu kan ya...makasih ,14 Des 2023
Novia R.,"Alhamdulillah barang sudah sampai dengan aman terimakasih seller Lazada dan Abang kurirnya

 Bahan:lembut dan halus sedikit terawang 
 Ukuran:pas untuk anak ku karena ada karet 
 Rancangan:sesuai keinginan
proses pengiriman cepat.Sekalilagi terimakasih untuk semuanya  ",05 Nov 2023
N***.,"Celana kargo serbaguna untuk berbagai acara., Mudah dipadukan dengan berbagai outfit., Kain nyaman dan bernapas.,  ",3 minggu lalu
Viraa,"Bagus untuk aktivitas di luar ruangan., Desain highwaist sedang trendi., Pas sempurna dengan desain high waist., Kain nyaman dan bernapas.,  ",02 Des 2023
mamah R.,ukuran dan warna sesuai permintaan. tokonya amanah. katinganya bagus pas di badan. cuma jahitannya kendur2. di pakai sekali bolong2 lepas benang. ,2 hari lalu
c***.,"bagussss banget dong rekomen dehh pokoknya buat  kalian""✌️😊 ",5 hari lalu
Amira S.,"Celana kargo yang stylish dan modis., Bahan yang tahan lama untuk penggunaan jangka panjang., Pas sempurna dengan desain high waist., Bagus untuk aktivitas di luar ruangan., Celana kargo serbaguna untuk berbagai acara., Mudah dipadukan dengan berbagai outfit., Celana kargo serbaguna untuk berbagai acara.,  ",15 Jan 2024
guest,"Pas sempurna dengan desain high waist., Kain nyaman dan bernapas.,  ",05 Des 2023
Khofifah I.,"Beragam pilihan warna yang dapat dipilih., Celana kargo yang trendi dan fungsional., Bahan yang tahan lama untuk penggunaan jangka panjang., Mudah dipadukan dengan berbagai outfit.,  ",1 hari lalu
Elga P.,"Bahan:bagus
 Ukuran:pas
 Rancangan:sangat bagus  ",5 hari lalu
Third-Party-User,bahannya bagus trm ksh,07 Des 2023
Sukmawati,"bagusss ikh suka,smga jadi langganan aku yah ",22 Des 2023
A***.,"Bagus untuk aktivitas di luar ruangan., Bahan yang tahan lama untuk penggunaan jangka panjang.,  ",02 Des 2023
guest,"Mudah dipadukan dengan berbagai outfit., Celana kargo yang trendi dan fungsional.,  ",05 Des 2023
vika A.,"barang sudah sampai.. 
paket sesuai pesanan.. 
bhan nya adem. lembut dan jatuh.
kurir nya baik.. 
thanks seller.",01 Des 2023
8***4,"celananya udah sampe agak kepanjangan di aku,bagian paha agak ngetat tapi bawahnya longgar ",02 Jan 2024
d***.,"Mudah dipadukan dengan berbagai outfit., Celana kargo yang stylish dan modis.,  ",1 minggu lalu
Lidia,bagus sesuailah Sama harganya sukses trs buat tokonya amanah juga ,1 minggu lalu
0***6,Ukuran:bagus sesuai n muat d BB 60kg bahannya jga adem n lentur bagus bngt ,07 Des 2023
